problem,phi,eps,column,n_columns,effective_columns,depends_on,free_set,free_set_size,constant_column
zdt1_interval,lu,0.5,3,4,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,,0,False
zdt1_interval,ls,0.5,0,4,4,0 29,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,28,False
zdt1_interval,ls,0.5,1,4,4,29,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,29,False
zdt1_interval,ls,0.5,2,4,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,,0,False
zdt1_interval,ls,0.5,3,4,4,28,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29,29,False
zdt1_interval,cw,0.5,0,4,4,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,29,False
zdt1_interval,cw,0.5,1,4,4,29,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,29,False
zdt1_interval,cw,0.5,2,4,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,,0,False
zdt1_interval,cw,0.5,3,4,4,28,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29,29,False
dtlz2_interval,lu,0.0,0,6,3,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.0,1,6,3,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.0,2,6,3,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.0,3,6,3,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.0,4,6,3,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,lu,0.0,5,6,3,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.0,0,6,4,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.0,1,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,ls,0.0,2,6,4,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.0,3,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,ls,0.0,4,6,4,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.0,5,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,cw,0.0,0,6,4,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.0,1,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,cw,0.0,2,6,4,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.0,3,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,cw,0.0,4,6,4,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,cw,0.0,5,6,4,,0 1 2 3 4 5 6 7 8 9 10 11,12,True
dtlz2_interval,lu,0.05,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.05,1,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.05,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.05,3,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.05,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,lu,0.05,5,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.05,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.05,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,ls,0.05,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.05,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,ls,0.05,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.05,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,cw,0.05,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.05,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,cw,0.05,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.05,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,cw,0.05,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,cw,0.05,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,lu,0.1,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.1,1,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.1,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.1,3,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.1,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,lu,0.1,5,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.1,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.1,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,ls,0.1,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.1,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,ls,0.1,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.1,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,cw,0.1,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.1,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,cw,0.1,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.1,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,cw,0.1,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,cw,0.1,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,lu,0.25,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.25,1,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.25,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.25,3,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.25,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,lu,0.25,5,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.25,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.25,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,ls,0.25,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.25,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,ls,0.25,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.25,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,cw,0.25,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.25,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,cw,0.25,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.25,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,cw,0.25,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,cw,0.25,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,lu,0.5,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.5,1,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.5,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.5,3,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,lu,0.5,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,lu,0.5,5,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.5,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.5,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,ls,0.5,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,ls,0.5,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,ls,0.5,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,ls,0.5,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
dtlz2_interval,cw,0.5,0,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.5,1,6,6,11,0 1 2 3 4 5 6 7 8 9 10,11,False
dtlz2_interval,cw,0.5,2,6,6,0 1 2 3 4 5 6 7 8 9 10 11,,0,False
dtlz2_interval,cw,0.5,3,6,6,10,0 1 2 3 4 5 6 7 8 9 11,11,False
dtlz2_interval,cw,0.5,4,6,6,0 2 3 4 5 6 7 8 9 10 11,1,1,False
dtlz2_interval,cw,0.5,5,6,6,9,0 1 2 3 4 5 6 7 8 10 11,11,False
